store_id,week_start,weekly_sales,profit_margin_pct,weekly_profit,age_group,income_level,loyalty_level,state
IL_S002,2024-04-15,23842.08842854014,0.17173063533797037,4094.41699361727,<18,High,Occasional,IL
AL_S001,2023-08-07,37534.36335767302,0.15183469379807135,5699.018567317832,35-54,Low,None,AL
MS_S001,2023-07-10,35925.36482485612,0.17280068827323103,6207.927768202062,35-54,High,Occasional,MS
MD_S002,2024-05-20,14345.359576671188,0.13817532686445608,1982.1747484946966,35-54,Middle,VIP,MD
KS_S001,2024-04-08,17826.14255328711,0.12677095733685437,2259.8371571034445,35-54,High,Regular,KS
SC_S001,2023-09-04,19247.229944451858,0.17432589346795047,3355.290556849661,35-54,Low,VIP,SC
OK_S002,2023-03-27,20151.913179714495,0.12467014653631486,2512.341969102101,35-54,High,None,OK
AZ_S001,2023-09-11,17097.14459510513,0.16927117774924702,2894.053801762618,18-34,Low,Regular,AZ
MS_S004,2023-12-25,24815.61918589338,0.15092242749262497,3745.233487267587,35-54,Low,None,MS
AZ_S002,2023-12-25,24430.625260730758,0.08011675046632272,1957.3023077502064,55+,High,VIP,AZ
AL_S001,2023-05-01,27519.635834303015,0.13276852648611182,3653.7414991548117,18-34,Low,Regular,AL
WI_S001,2023-02-13,17977.809534032494,0.16004514585073865,2877.2611489510305,<18,High,None,WI
AL_S003,2023-06-12,37071.159045204,0.13781998008274524,5109.1464012542965,55+,High,VIP,AL
MD_S001,2024-06-10,21428.199926331188,0.07359803664713443,1577.0734434602462,35-54,High,Regular,MD
WI_S001,2024-08-12,25798.174890329417,0.1896225038347848,4891.9145170719385,55+,Middle,VIP,WI
MD_S001,2023-11-20,18505.416930583997,0.15508125153814833,2869.8432178302055,35-54,High,Occasional,MD
AL_S001,2024-11-04,29116.338939433917,0.16331217873809417,4755.052749075763,18-34,Low,Regular,AL
MI_S001,2024-05-27,22110.261507804775,0.1358017154346527,3002.611441468659,18-34,High,VIP,MI
WI_S002,2023-05-22,20700.8145279597,0.16594469064439973,3435.190262929368,<18,Middle,Occasional,WI
IN_S001,2024-06-10,23922.89742640513,0.20504460433760108,4905.261037406254,55+,Low,Occasional,IN
PA_S003,2024-11-18,21134.936135875007,0.12794781049117926,2704.1688034561116,18-34,Middle,None,PA
AL_S003,2023-05-22,28342.24406276577,0.20001038116071213,5668.743037943712,55+,Middle,VIP,AL
MD_S004,2023-12-04,19531.29228860307,0.1619569219767602,3163.2279812905854,35-54,Middle,VIP,MD
PA_S006,2024-05-27,22784.497155056008,0.12391701755889407,2823.3869340336473,<18,Middle,VIP,PA
MD_S002,2023-03-27,17267.238645170288,0.21637171912773026,3736.142110244275,55+,Middle,VIP,MD
SC_S001,2023-12-04,20343.990085727437,0.16174920719666797,3290.624267583286,18-34,Middle,VIP,SC
MD_S003,2023-05-15,21038.460327596207,0.17029436006319124,3582.731138202833,18-34,High,None,MD
KS_S001,2023-05-08,13049.883801149788,0.14191943685819725,1852.0321601240885,55+,High,None,KS
KS_S001,2023-10-16,9288.382511758491,0.12611020064011447,1171.3597821799938,55+,High,Regular,KS
MS_S004,2024-01-08,28764.55710098362,0.15503439734027366,4459.495774910884,<18,Low,Occasional,MS
DE_S002,2023-03-27,23961.15629970539,0.19744391170449985,4730.984428776752,<18,High,Occasional,DE
PA_S002,2023-08-07,23957.13205588967,0.14071020563442932,3371.012977995414,<18,Low,VIP,PA
NV_S001,2024-01-29,18342.662318365645,0.14919746263277586,2736.678675829984,<18,High,VIP,NV
UT_S001,2023-10-30,12017.76489146641,0.19368985415938755,2327.719129149937,55+,Low,Regular,UT
WI_S002,2023-08-07,26401.762130655115,0.14099019462587278,3722.3895812670626,55+,Middle,Occasional,WI
OK_S001,2023-12-04,20691.843286890253,0.1653082893350736,3420.5332169452545,18-34,High,None,OK
WI_S002,2023-04-03,18356.899579231445,0.17632051520219091,3236.69799132497,55+,Middle,Occasional,WI
NV_S002,2023-04-10,93.5705454062936,0.1440965715336905,13.48319478958442,<18,Low,Regular,NV
OH_S003,2023-09-18,30820.39920209946,0.15929512779599767,4909.5394296220975,18-34,High,None,OH
WI_S001,2024-07-15,31256.62072189351,0.1698330833304352,5308.408271689148,55+,Low,VIP,WI
AR_S001,2024-05-13,42714.73289374475,0.1379725441936762,5893.460371903272,35-54,High,VIP,AR
PA_S003,2024-09-02,22924.345594160415,0.17447295494969978,3999.6783161012986,55+,Middle,VIP,PA
NJ_S001,2024-06-24,23083.78302677775,0.13359041749633682,3083.7722119420932,55+,Low,Occasional,NJ
WI_S001,2024-04-01,21115.744702086275,0.12974737263118527,2739.712396246564,35-54,Low,None,WI
MS_S002,2024-12-30,27397.48359980066,0.10418876817538629,2854.510067368579,18-34,Low,Occasional,MS
KY_S001,2023-10-30,21598.067752095143,0.13489612968296824,2913.495748388161,18-34,High,None,KY
VA_S002,2023-10-16,25960.486329200812,0.12553491894389338,3258.947547080276,55+,Low,Regular,VA
VA_S003,2024-04-29,22212.399262841765,0.13797378131235077,3064.7287183139515,18-34,Low,None,VA
PA_S005,2024-11-18,11452.535549958302,0.16835977895743465,1928.146353693142,55+,Middle,VIP,PA
VA_S003,2023-12-18,37647.66079996049,0.09822977239874692,3698.121151725345,35-54,Low,None,VA
NV_S002,2024-01-08,3684.6818857901917,0.09075987316238675,334.4212605980618,<18,Low,Occasional,NV
MS_S002,2024-12-09,23299.883648284052,0.1275276235004615,2971.378789502928,55+,High,Occasional,MS
GA_S001,2023-01-02,19437.033022870422,0.1638369148075997,3184.5035234805237,18-34,High,VIP,GA
WI_S002,2024-10-07,11871.488622519875,0.1586659484105906,1883.6010013376517,55+,Middle,Regular,WI
IN_S001,2023-01-09,22182.25854247143,0.12704813001267223,2818.2144672786194,<18,Middle,Occasional,IN
AL_S001,2024-10-14,28603.49052055196,0.18508224696469386,5293.998296577078,55+,Middle,VIP,AL
VA_S002,2024-07-15,36614.0661267971,0.13024770194644977,4768.897971930672,18-34,Low,Regular,VA
LA_S002,2024-07-29,26717.659429669024,0.1638736195838138,4378.319557547477,18-34,Middle,VIP,LA
KY_S001,2024-10-21,19503.281696114573,0.13911641017397483,2713.22653617525,<18,High,Occasional,KY
OH_S002,2023-08-14,24685.43063184994,0.12393670947019031,3059.4310443661225,55+,Low,VIP,OH
PA_S006,2023-02-27,25094.57812498857,0.1318479963565578,3308.6698451928482,18-34,High,Regular,PA
MD_S001,2023-09-04,12049.915764357429,0.17202001154440674,2072.826648893894,35-54,High,VIP,MD
PA_S004,2024-11-25,6839.290101172557,0.16083075435428265,1099.9681862193604,<18,High,VIP,PA
UT_S001,2024-10-21,18638.233675067524,0.17904307991329627,3337.0467613278042,35-54,Low,VIP,UT
IL_S001,2024-01-01,23008.888225531213,0.16082958247611245,3700.509886551725,<18,Low,VIP,IL
IN_S001,2023-09-18,13323.986257157367,0.1016649161047734,1354.5819450150575,55+,Middle,Occasional,IN
VA_S002,2023-10-23,23409.15513841878,0.21343244502926378,4996.2732172620745,18-34,High,VIP,VA
GA_S001,2024-11-18,15087.754423726647,0.16125507042175405,2432.9769021041716,55+,High,None,GA
NC_S001,2023-03-13,17634.74507627594,0.16544014663164688,2917.4948112308043,18-34,Middle,None,NC
MS_S003,2023-07-24,18743.468839442685,0.1386948696151032,2599.6229668212527,55+,High,Occasional,MS
GA_S001,2023-08-28,24653.24587493291,0.18339534879902125,4521.290626261352,18-34,High,VIP,GA
AL_S003,2023-02-20,31783.492718062516,0.11720677318199635,3725.240621937586,55+,High,Regular,AL
SC_S001,2024-02-12,18707.910926393826,0.16829487232990478,3148.4454809166796,<18,Middle,VIP,SC
AZ_S003,2023-02-27,17452.428542381822,0.08761100153258881,1529.0247437740106,<18,High,VIP,AZ
IL_S002,2024-03-04,22127.39031965765,0.17031625564050548,3768.6542663400587,<18,High,VIP,IL
VA_S001,2024-07-08,42367.50048871886,0.11761348765081713,4982.989495525924,35-54,Middle,VIP,VA
OH_S001,2023-07-17,17565.27970603382,0.15830983561281375,2780.7565427553077,35-54,Low,Regular,OH
IL_S003,2023-02-06,20437.209531183442,0.19072021400238523,3897.788975398893,<18,Low,None,IL
SC_S001,2023-02-20,18485.774788518298,0.17468152123501315,3229.1232612662297,<18,Middle,None,SC
NV_S002,2023-04-03,4088.875787385894,0.18673145010352685,763.5217050717681,<18,High,Regular,NV
DE_S003,2023-06-19,33667.13938016744,0.18362545330943425,6182.1437303151515,18-34,High,None,DE
IN_S001,2024-12-02,19724.397955680815,0.13427151771270363,2648.4248494786116,18-34,High,Occasional,IN
TN_S001,2023-08-14,13263.782161531519,0.1679499052142356,2227.6509568114875,<18,High,Regular,TN
AR_S001,2024-01-08,50190.93399009996,0.09825249312174571,4931.384396636289,55+,Low,Occasional,AR
LA_S001,2024-03-18,16132.54917762704,0.12939190746167248,2087.4213103123984,55+,Middle,Occasional,LA
MI_S001,2023-12-18,32839.96379234821,0.19177964664852154,6298.036652046781,55+,Low,VIP,MI
DE_S003,2023-07-24,33786.19682810422,0.13844889592721338,4677.661648430548,35-54,Middle,None,DE
OK_S001,2023-05-15,17134.742485816747,0.09395994339987769,1609.979434138821,18-34,Low,None,OK
VA_S004,2024-04-22,15445.490305578833,0.2104109675199407,3249.9005590167067,18-34,Middle,None,VA
NV_S003,2024-05-27,20864.68969110875,0.16686750849509158,3481.638784278539,18-34,High,Regular,NV
PA_S003,2023-07-24,25110.163661592447,0.1729343466091737,4342.409746066906,18-34,Middle,Regular,PA
VA_S001,2024-01-08,33229.11143311983,0.12058591395234307,4006.9627719870073,55+,High,Regular,VA
AL_S001,2023-06-12,34900.52234232334,0.1585216971158961,5532.490031936345,35-54,High,VIP,AL
NV_S002,2024-04-15,2512.5967200995096,0.15772724912667582,396.3049688260039,18-34,Low,Regular,NV
NV_S001,2024-04-29,15651.641121325589,0.12535545430128975,1962.0185833245173,<18,High,Regular,NV
OK_S001,2024-01-01,19239.724363927933,0.14490540943430524,2787.940136358155,55+,Low,Regular,OK
MS_S001,2023-07-17,38088.536937560806,0.10498596861650947,3998.7619435755205,35-54,High,Regular,MS
MS_S002,2023-06-19,30632.193807520904,0.13959871401371995,4276.214862948954,18-34,High,Occasional,MS
AZ_S003,2024-11-18,19935.464591972875,0.17921538771779458,3572.7420161847845,55+,High,VIP,AZ
MD_S001,2023-10-02,17633.61736625399,0.12759455223023744,2249.953512046517,35-54,High,Regular,MD
MD_S004,2024-09-23,17268.387764523923,0.2072189350927966,3578.3369233341255,<18,Middle,None,MD
MN_S001,2024-03-18,23311.257121381146,0.1069172546239483,2492.375613251036,35-54,Middle,Occasional,MN
NJ_S001,2024-08-19,24693.56422339338,0.14219473950613218,3511.2949322233667,55+,High,Occasional,NJ
MN_S001,2023-07-10,24754.90724919897,0.13030710109157623,3225.740201433963,<18,Low,Occasional,MN
NV_S003,2024-01-01,20065.2051923638,0.14459457505881393,2901.3198182577503,18-34,High,None,NV
AL_S002,2023-07-10,27255.708520807246,0.19114424346422768,5209.771785291205,55+,Low,None,AL
OK_S001,2023-05-08,14914.21705435387,0.12046633510607709,1796.6610695145632,55+,Low,Occasional,OK
NC_S001,2024-11-04,27105.44174418921,0.1364618840721141,3698.8596490189902,18-34,Low,Regular,NC
NJ_S002,2024-05-06,21739.90315651327,0.16963517258169417,3687.852223864446,<18,High,Regular,NJ
NJ_S002,2023-06-19,20887.16735127105,0.15279476339752956,3191.4497934820647,<18,Low,Regular,NJ
MS_S003,2024-12-23,19678.451508661194,0.15525524847927008,3055.182878664461,35-54,Middle,None,MS
OK_S002,2024-05-06,18319.440874650536,0.12104170981201327,2217.416446267785,18-34,Middle,VIP,OK
MS_S003,2024-07-01,22680.486891442677,0.1478524958519251,3353.3665940366695,35-54,Low,VIP,MS
IN_S002,2024-03-04,13381.291956031664,0.18394735354618572,2461.4532423408873,<18,High,None,IN
NJ_S001,2023-06-19,21468.78891123683,0.10171437050757061,2183.684349666366,55+,Low,Occasional,NJ
UT_S002,2023-04-03,16330.132569980615,0.12908072547902918,2107.905359301821,<18,Middle,Occasional,UT
OK_S002,2024-04-15,16816.89731312387,0.09553375111423991,1606.5812824257057,55+,Low,None,OK
AZ_S003,2023-01-09,25181.231560578122,0.16610927090831223,4182.836015101014,<18,High,Regular,AZ
MD_S001,2023-08-28,19843.45606652524,0.18676411635943407,3706.0455377818375,35-54,High,None,MD
NJ_S002,2024-02-12,15242.03978027016,0.14449770038123871,2202.439697368399,<18,Low,Occasional,NJ
NJ_S002,2023-12-25,26234.54151431426,0.11983439956454107,3143.8005302188753,18-34,Low,Occasional,NJ
KS_S001,2024-09-02,17849.553274340735,0.12071260645636393,2154.6660998273956,18-34,Middle,VIP,KS
TN_S001,2023-08-21,13579.777808591847,0.1410882837638177,1915.9475449082013,55+,High,Occasional,TN
OK_S001,2023-02-06,15581.504703527786,0.14097383863825425,2196.584529816326,55+,High,None,OK
IN_S002,2024-01-22,16320.956410267034,0.1773549533554011,2894.6024628584446,<18,High,VIP,IN
AZ_S001,2024-08-26,14478.13224401492,0.1299337189667096,1881.1975661566912,<18,High,Regular,AZ
NE_S001,2024-04-22,28848.740640573174,0.1630523501455758,4703.854960185639,35-54,Middle,Regular,NE
MS_S003,2023-12-25,22903.365877384455,0.14083589912256395,3225.6161262744904,55+,High,VIP,MS
AL_S003,2023-09-18,25716.261562333057,0.12765729134280487,3282.8682945105256,35-54,High,Occasional,AL
AZ_S002,2024-07-29,21948.54459682875,0.14008871809977066,3074.743476725387,55+,High,None,AZ
OH_S003,2024-07-29,24479.225483007856,0.1600961514561294,3919.029790456368,55+,High,None,OH
LA_S002,2023-03-13,22052.530296031353,0.17744800169645106,3913.17743338121,35-54,Middle,Regular,LA
NV_S002,2024-05-13,2978.908438443648,0.1424408043852453,424.3181141619082,18-34,Low,Occasional,NV
UT_S002,2024-12-30,18590.68348209392,0.1138818560760669,2117.1415406635338,55+,Middle,Regular,UT
MD_S004,2024-02-19,20999.014360745536,0.17999144409796322,3779.642919424457,55+,Middle,None,MD
NE_S001,2023-08-14,38571.35971190496,0.12305491850543657,4746.395525992344,18-34,Low,Regular,NE
MD_S003,2024-08-26,26204.669159121906,0.15782469503032598,4135.7439184090035,18-34,Low,None,MD
LA_S001,2024-02-26,18589.418393523432,0.14925501996888738,2774.5640135353424,55+,Middle,Occasional,LA
MN_S001,2024-04-22,22358.320779367754,0.14524289722961342,3247.387287184441,35-54,High,Regular,MN
NV_S002,2024-01-29,7305.0479335327345,0.1353907109943598,989.0356335688756,55+,Low,Regular,NV
NC_S001,2023-07-10,34168.58174346032,0.1686044634124639,5760.975390421038,<18,Low,None,NC
KS_S001,2023-02-20,13221.726834974019,0.05,661.086341748701,35-54,Low,VIP,KS
AZ_S003,2023-07-24,22511.56738307583,0.1840941152510111,4144.247080300865,<18,High,VIP,AZ
AZ_S003,2023-03-27,22929.756954889977,0.12262476676817893,2811.7560986444123,<18,High,Occasional,AZ
MS_S001,2023-10-16,20990.698084330295,0.16223870729251944,3405.503722369311,35-54,High,VIP,MS
VA_S004,2023-12-25,21663.10750395025,0.16065076853804786,3480.1948694319594,35-54,Low,Occasional,VA
PA_S004,2023-08-07,8909.93305400141,0.18824932146062454,1677.2888516753558,<18,High,VIP,PA
DE_S002,2024-02-26,25191.06322890418,0.15593247406614208,3928.104813639646,55+,High,None,DE
SC_S001,2024-06-03,22774.063772456375,0.12512672458097865,2849.6440052457924,35-54,Middle,VIP,SC
IN_S001,2024-08-19,20813.703138285357,0.10185735036267093,2120.028652900955,18-34,Middle,Occasional,IN
PA_S002,2023-09-04,22056.903845840607,0.13953590535381077,3077.7300474313197,18-34,Middle,Regular,PA
DE_S001,2023-06-26,16648.98587045969,0.09125473713350962,1519.298829148315,18-34,Middle,None,DE
AZ_S002,2024-01-08,21762.670899616143,0.13114542881067734,2854.0748071958083,55+,High,VIP,AZ
MS_S002,2024-12-02,24520.043386211033,0.14122108139009384,3462.7470427327407,55+,Low,Occasional,MS
IL_S003,2023-01-09,16912.764090148543,0.12930252065913225,2186.8630281694623,35-54,Middle,Regular,IL
AZ_S001,2023-03-13,11366.138222258694,0.15125320972094736,1719.1648882485702,35-54,High,None,AZ
TX_S001,2023-05-08,8531.00966744281,0.14291687967242378,1219.225282126208,55+,High,VIP,TX
AL_S004,2023-05-15,22520.95337476804,0.14016940376013654,3156.748606651071,35-54,Middle,Occasional,AL
KY_S001,2023-05-08,23692.7349880789,0.07727548148888083,1830.8675039922502,55+,High,Occasional,KY
WI_S001,2024-12-30,26697.94010085869,0.11115884457943352,2967.7121742623767,35-54,Middle,None,WI
AL_S001,2024-07-15,33666.43310394603,0.16927970195564626,5699.043761745686,<18,Middle,Regular,AL
AL_S003,2024-01-08,33539.493289746286,0.17412768818842334,5840.154429554658,55+,Middle,Occasional,AL
AL_S003,2023-07-24,42985.09557829306,0.09483669846063013,4076.5645476599443,35-54,Middle,VIP,AL
VA_S001,2023-06-19,36542.189758517685,0.12555845456297604,4588.180872426491,35-54,Low,Regular,VA
SC_S001,2023-02-06,17797.320761187835,0.1821589610279738,3241.9414589395637,<18,Middle,VIP,SC
AZ_S003,2024-04-01,24429.323875606253,0.12845883559784552,3138.162499503026,18-34,High,VIP,AZ
LA_S002,2024-01-22,23690.717540837628,0.14665527638624662,3474.368728740043,18-34,Middle,Occasional,LA
DE_S002,2023-12-25,35693.96542978152,0.19325415987047723,6898.0073015782855,18-34,Middle,None,DE
TX_S001,2024-09-23,9227.817570447784,0.1391526806566982,1284.0755515387891,18-34,High,Occasional,TX
UT_S002,2024-07-22,20456.442068072214,0.13485841769438653,2758.723408957103,55+,Middle,Occasional,UT
IL_S002,2024-10-07,17593.315235520036,0.1452888992822211,2556.113405293837,<18,High,VIP,IL
TN_S001,2023-02-13,16933.49085504827,0.20560232393699485,3481.565072163774,<18,High,Occasional,TN
OK_S001,2024-08-05,21525.200935804452,0.1633860550886844,3516.917665892347,18-34,Low,Occasional,OK
IN_S002,2024-07-22,9699.862748788459,0.15057244883339302,1460.5320874328852,<18,Middle,Occasional,IN
NV_S001,2023-09-18,20616.15382809836,0.1342692013295525,2768.114508985963,<18,Low,Regular,NV
NJ_S002,2024-06-10,16775.327002705835,0.16616450784543368,2787.463955350829,<18,Low,Regular,NJ
NC_S001,2024-04-15,17881.51023975623,0.16979099309792395,3036.119381698906,18-34,Low,None,NC
KS_S001,2023-01-09,18672.07580845588,0.1178046447157359,2199.657256720432,55+,Middle,Regular,KS
IN_S002,2024-04-22,12302.532235089791,0.1705988457583848,2098.7977992116403,<18,Middle,VIP,IN
IN_S001,2023-01-23,22257.68493224836,0.14546543140129709,3237.7237406636577,<18,High,Occasional,IN
VA_S001,2023-04-24,29397.819590640625,0.1507439590388582,4431.543712203274,35-54,Low,VIP,VA
PA_S004,2023-02-20,11981.44186108145,0.12347132991035045,1479.364560831271,55+,Low,VIP,PA
MD_S002,2024-10-07,18872.899110929528,0.1380005391651327,2604.4702529174283,35-54,High,VIP,MD
NV_S002,2023-09-18,3509.287634207025,0.11909573204331513,417.9411797464391,18-34,Low,None,NV
AL_S004,2024-08-26,27271.467867550262,0.11765345489651097,3208.582414716473,<18,Middle,Regular,AL
UT_S001,2024-03-04,12175.553066688977,0.1613127066128034,1964.0714196954175,35-54,Middle,Regular,UT
MD_S004,2024-11-04,20043.92290958881,0.13934650303670673,2793.050564588533,<18,Middle,Regular,MD
AZ_S002,2024-06-17,18682.958129866198,0.11101086990412752,2074.011434378838,<18,High,VIP,AZ
NV_S003,2023-01-23,26450.98662383601,0.21531157942465126,5695.203707318455,18-34,High,VIP,NV
AL_S004,2023-03-06,20888.68349098668,0.1162603488205219,2428.525629063589,<18,Middle,Occasional,AL
TN_S001,2023-09-11,15408.377095967986,0.18276308883058,2816.0825919254717,<18,High,None,TN
OH_S001,2023-06-19,17186.522284634226,0.10570609075134595,1816.7200843195749,18-34,Middle,Regular,OH
OK_S002,2024-10-14,10177.777902785936,0.16369507005503386,1666.0520668011195,55+,High,None,OK
MS_S004,2023-06-05,27296.482308777526,0.14248318894143927,3889.2898462382027,<18,Low,None,MS
NE_S001,2024-01-29,31518.160790138045,0.13112829805924786,4132.9227823685205,35-54,High,Regular,NE
PA_S004,2024-03-18,7385.011109899543,0.15590226971297116,1151.3399938888472,55+,Low,VIP,PA
UT_S002,2023-09-25,14260.871533636702,0.15186779568987996,2165.7671244299636,55+,Middle,Regular,UT
AL_S004,2024-04-08,22054.96888247645,0.12562604448953865,2770.6785020453767,<18,Middle,Regular,AL
IN_S002,2024-12-16,17254.887613733,0.12426783357638999,2144.2275023626853,18-34,Middle,Regular,IN
