sale_date,location,age,gender,household_income,flavor,units_sold,unit_price_usd,revenue_usd,profit_margin_pct,profit_usd,month,season_mult,price_adj_loc
2026-01-25,Italy,18,Prefer not to say,33900.0,Pistachio,4,3.93,14.15,12.88,1.82,1,0.9,0.05
2026-02-21,Netherlands,30,Male,21500.0,Hazelnut,6,3.54,19.12,16.25,3.11,2,0.9,0.1
2025-12-03,USA,39,Male,81300.0,Vanilla,1,4.19,3.77,14.29,0.54,12,0.9,0.3
2025-09-29,Italy,21,Male,38600.0,Hazelnut,3,3.49,10.47,16.28,1.7,9,1.0,0.05
2025-06-19,Spain,43,Male,25500.0,Salted Caramel,2,3.4,8.16,14.18,1.16,6,1.2,0.05
2025-10-14,Germany,29,Female,18100.0,Berry,1,3.88,3.49,14.12,0.49,10,0.9,0.1
2025-12-25,USA,33,Male,19100.0,Salted Caramel,1,3.65,3.28,13.91,0.46,12,0.9,0.3
2025-07-19,Brazil,29,Female,30100.0,Cookies & Cream,3,2.98,10.73,13.07,1.4,7,1.2,-0.1
2025-03-02,UK,63,Male,95100.0,Pistachio,1,4.08,4.08,12.89,0.53,3,1.0,0.2
2025-05-19,Australia,37,Female,27100.0,Mint,1,4.06,4.47,14.08,0.63,5,1.1,0.25
2026-02-19,Germany,23,Male,74900.0,Berry,5,3.88,17.46,14.05,2.45,2,0.9,0.1
2025-10-01,USA,49,Male,34000.0,Stracciatella,2,3.92,7.06,15.34,1.08,10,0.9,0.3
2025-08-20,Italy,20,Prefer not to say,20100.0,Stracciatella,4,3.67,17.62,15.3,2.7,8,1.2,0.05
2025-07-19,UK,40,Male,28700.0,Pistachio,3,4.08,14.69,12.88,1.89,7,1.2,0.2
2025-05-17,Canada,18,Female,19100.0,Mint,1,4.06,4.47,14.08,0.63,5,1.1,0.25
2025-06-17,Germany,19,Male,23700.0,Hazelnut,1,3.54,4.25,16.22,0.69,6,1.2,0.1
2025-08-18,USA,40,Female,23300.0,Berry,1,4.08,4.9,14.1,0.69,8,1.2,0.3
2025-04-20,Australia,48,Female,14000.0,Hazelnut,6,3.69,22.14,16.28,3.6,4,1.0,0.25
2025-04-15,France,40,Female,77400.0,Hazelnut,1,3.59,3.59,16.28,0.58,4,1.0,0.15
2025-09-09,Germany,36,Female,40400.0,Coffee,2,3.75,7.5,12.33,0.92,9,1.0,0.1
2025-04-17,Germany,33,Male,25800.0,Coffee,3,3.75,11.25,12.24,1.38,4,1.0,0.1
2025-08-29,Spain,18,Male,40600.0,Berry,1,3.83,4.6,14.1,0.65,8,1.2,0.05
2025-08-22,Netherlands,27,Male,23900.0,Cookies & Cream,2,3.18,7.63,12.99,0.99,8,1.2,0.1
2026-01-02,UK,31,Female,9600.0,Coffee,1,3.85,3.47,12.2,0.42,1,0.9,0.2
2025-07-12,UK,52,Female,159300.0,Berry,1,3.98,4.78,14.1,0.67,7,1.2,0.2
2025-03-21,UK,42,Female,39900.0,Berry,1,3.98,3.98,14.02,0.56,3,1.0,0.2
2025-10-20,Italy,18,Female,27100.0,Coffee,5,3.7,16.65,12.3,2.05,10,0.9,0.05
2025-11-28,Italy,42,Female,13800.0,Vanilla,6,3.94,21.28,14.23,3.03,11,0.9,0.05
2025-05-01,UK,32,Female,17200.0,Hazelnut,1,3.64,4.0,16.4,0.66,5,1.1,0.2
2025-09-08,Netherlands,28,Male,83100.0,Stracciatella,2,3.72,7.44,15.33,1.14,9,1.0,0.1
2025-04-08,UK,46,Male,77000.0,Pistachio,3,4.08,12.24,12.89,1.58,4,1.0,0.2
2025-12-06,Canada,52,Male,52900.0,Cookies & Cream,1,3.33,3.0,13.0,0.39,12,0.9,0.25
2025-07-27,Canada,51,Female,20800.0,Berry,2,4.03,9.67,14.0,1.35,7,1.2,0.25
2026-01-14,Italy,26,Male,77300.0,Pistachio,1,3.93,3.54,12.89,0.46,1,0.9,0.05
2026-01-09,Canada,33,Male,45500.0,Salted Caramel,1,3.6,3.24,13.91,0.45,1,0.9,0.25
2025-08-31,USA,42,Female,50400.0,Salted Caramel,4,3.65,17.52,14.12,2.47,8,1.2,0.3
2025-12-19,USA,51,Female,45400.0,Cookies & Cream,2,3.38,6.08,13.0,0.79,12,0.9,0.3
2025-06-05,Netherlands,31,Female,17100.0,Salted Caramel,1,3.45,4.14,13.93,0.58,6,1.2,0.1
2026-02-22,France,35,Female,19900.0,Chocolate,1,3.77,3.39,13.19,0.45,2,0.9,0.15
2025-04-03,Germany,22,Female,28100.0,Coffee,1,3.75,3.75,12.33,0.46,4,1.0,0.1
2025-03-22,France,21,Female,50100.0,Berry,3,3.93,11.79,14.11,1.66,3,1.0,0.15
2026-01-31,Spain,49,Female,18200.0,Salted Caramel,4,3.4,12.24,14.1,1.73,1,0.9,0.05
2025-06-23,Germany,56,Female,33300.0,Berry,1,3.88,4.66,14.1,0.66,6,1.2,0.1
2025-07-25,Germany,36,Male,33200.0,Mint,1,3.91,4.69,14.22,0.67,7,1.2,0.1
2025-04-08,Australia,52,Female,54000.0,Hazelnut,3,3.69,11.07,16.28,1.8,4,1.0,0.25
2025-06-26,Germany,43,Male,50900.0,Coffee,5,3.75,22.5,12.28,2.76,6,1.2,0.1
2025-04-19,Netherlands,28,Female,21900.0,Berry,1,3.88,3.88,14.02,0.54,4,1.0,0.1
2025-09-09,Canada,43,Female,74900.0,Pistachio,3,4.13,12.39,12.89,1.6,9,1.0,0.25
2025-07-19,Italy,59,Male,20300.0,Salted Caramel,2,3.4,8.16,14.18,1.16,7,1.2,0.05
2025-10-17,Spain,37,Male,62700.0,Pistachio,4,3.93,14.15,12.88,1.82,10,0.9,0.05
2026-01-18,Netherlands,59,Female,27600.0,Berry,2,3.88,6.98,13.97,0.98,1,0.9,0.1
2025-09-01,Australia,18,Male,39400.0,Vanilla,4,4.14,16.56,14.2,2.35,9,1.0,0.25
2025-05-21,Germany,49,Male,40700.0,Berry,2,3.88,8.54,14.06,1.2,5,1.1,0.1
2025-09-04,Canada,39,Female,40100.0,Berry,1,4.03,4.03,14.02,0.57,9,1.0,0.25
2025-08-27,Germany,33,Female,50900.0,Coffee,1,3.75,4.5,12.33,0.55,8,1.2,0.1
2025-06-14,UK,39,Male,44200.0,Vanilla,2,4.09,9.82,14.24,1.4,6,1.2,0.2
2026-02-05,USA,18,Female,53700.0,Mint,2,4.11,7.4,14.29,1.06,2,0.9,0.3
2025-07-13,Germany,34,Female,45800.0,Chocolate,1,3.72,4.46,13.36,0.6,7,1.2,0.1
2026-02-21,France,42,Female,19300.0,Mint,4,3.96,14.26,14.21,2.03,2,0.9,0.15
2026-02-11,UK,58,Male,41600.0,Chocolate,4,3.82,13.75,13.35,1.84,2,0.9,0.2
2026-01-24,UK,30,Male,27400.0,Chocolate,4,3.82,13.75,13.35,1.84,1,0.9,0.2
2025-04-04,Germany,26,Male,20900.0,Coffee,5,3.75,18.75,12.27,2.3,4,1.0,0.1
2026-01-04,UK,30,Male,31400.0,Cookies & Cream,2,3.28,5.9,13.0,0.77,1,0.9,0.2
2026-01-18,Spain,50,Prefer not to say,39800.0,Vanilla,3,3.94,10.64,14.19,1.51,1,0.9,0.05
2025-05-25,USA,42,Male,41100.0,Salted Caramel,5,3.65,20.08,14.17,2.85,5,1.1,0.3
2025-11-27,France,30,Male,61600.0,Vanilla,1,4.04,3.64,14.29,0.52,11,0.9,0.15
2025-07-02,Canada,45,Prefer not to say,69800.0,Pistachio,2,4.13,9.91,12.89,1.28,7,1.2,0.25
2025-05-21,Germany,39,Female,43000.0,Salted Caramel,2,3.45,7.59,14.11,1.07,5,1.1,0.1
2025-10-21,France,51,Male,47000.0,Salted Caramel,6,3.5,18.9,14.15,2.67,10,0.9,0.15
2025-09-09,Germany,28,Male,38100.0,Hazelnut,1,3.54,3.54,16.28,0.58,9,1.0,0.1
2025-07-15,Spain,33,Male,53300.0,Stracciatella,1,3.67,4.4,15.21,0.67,7,1.2,0.05
2026-01-20,Australia,32,Male,46300.0,Berry,2,4.03,7.25,13.97,1.01,1,0.9,0.25
2026-02-14,Spain,18,Male,35300.0,Coffee,1,3.7,3.33,12.2,0.41,2,0.9,0.05
2025-12-09,USA,42,Male,106500.0,Pistachio,4,4.18,15.05,12.88,1.94,12,0.9,0.3
2025-06-19,Netherlands,41,Male,27600.0,Mint,4,3.91,18.77,14.22,2.67,6,1.2,0.1
2026-02-12,Spain,38,Female,75100.0,Vanilla,1,3.94,3.55,14.29,0.51,2,0.9,0.05
2025-08-12,Brazil,34,Female,18500.0,Salted Caramel,1,3.25,3.9,13.93,0.54,8,1.2,-0.1
2025-03-27,France,18,Male,54500.0,Salted Caramel,1,3.5,3.5,14.03,0.49,3,1.0,0.15
2025-06-24,France,32,Female,74500.0,Coffee,1,3.8,4.56,12.33,0.56,6,1.2,0.15
2025-03-15,Italy,33,Female,14000.0,Cookies & Cream,1,3.13,3.13,12.99,0.41,3,1.0,0.05
2025-08-07,Spain,26,Female,38900.0,Vanilla,3,3.94,14.18,14.21,2.01,8,1.2,0.05
2025-09-20,Germany,35,Male,51900.0,Vanilla,1,3.99,3.99,14.14,0.56,9,1.0,0.1
2025-07-14,France,43,Female,41200.0,Mint,1,3.96,4.75,14.22,0.68,7,1.2,0.15
2025-04-01,Australia,64,Male,43900.0,Mint,1,4.06,4.06,14.17,0.58,4,1.0,0.25
2025-06-15,Australia,40,Male,38900.0,Pistachio,1,4.13,4.96,12.88,0.64,6,1.2,0.25
2025-12-14,Germany,41,Male,21000.0,Stracciatella,1,3.72,3.35,15.34,0.51,12,0.9,0.1
2025-08-07,Canada,36,Female,118700.0,Salted Caramel,4,3.6,17.28,14.12,2.44,8,1.2,0.25
2025-06-15,USA,18,Male,28200.0,Salted Caramel,1,3.65,4.38,13.93,0.61,6,1.2,0.3
2026-01-28,Australia,37,Male,45100.0,Vanilla,3,4.14,11.18,14.19,1.59,1,0.9,0.25
2025-11-09,Italy,38,Female,26300.0,Mint,4,3.86,13.9,14.21,1.98,11,0.9,0.05
2025-09-17,Canada,72,Female,11600.0,Hazelnut,4,3.69,14.76,16.28,2.4,9,1.0,0.25
2026-01-22,UK,35,Female,22900.0,Mint,1,4.01,3.61,14.29,0.52,1,0.9,0.2
2025-10-19,Germany,42,Female,17600.0,Berry,1,3.88,3.49,14.12,0.49,10,0.9,0.1
2025-05-11,Netherlands,37,Female,62700.0,Berry,1,3.88,4.27,13.94,0.6,5,1.1,0.1
2025-07-12,USA,21,Female,26800.0,Stracciatella,1,3.92,4.7,15.21,0.71,7,1.2,0.3
2025-05-09,UK,53,Male,28100.0,Pistachio,1,4.08,4.49,12.88,0.58,5,1.1,0.2
2025-07-03,Brazil,48,Male,21300.0,Hazelnut,2,3.34,8.02,16.22,1.3,7,1.2,-0.1
2025-12-11,Australia,49,Male,38100.0,Vanilla,1,4.14,3.73,14.29,0.53,12,0.9,0.25
2025-11-29,France,25,Male,25400.0,Pistachio,3,4.03,10.88,12.88,1.4,11,0.9,0.15
2025-07-11,France,57,Male,59600.0,Salted Caramel,2,3.5,8.4,14.18,1.19,7,1.2,0.15
2025-12-23,Germany,18,Male,42200.0,Berry,1,3.88,3.49,14.12,0.49,12,0.9,0.1
2025-10-04,USA,46,Female,27300.0,Coffee,1,3.95,3.56,12.2,0.43,10,0.9,0.3
2025-12-22,Brazil,68,Female,55600.0,Salted Caramel,1,3.25,2.92,13.91,0.41,12,0.9,-0.1
2025-09-19,Australia,24,Male,36500.0,Berry,1,4.03,4.03,14.02,0.57,9,1.0,0.25
2025-08-31,Brazil,30,Male,36700.0,Vanilla,1,3.79,4.55,14.13,0.64,8,1.2,-0.1
2025-06-19,USA,39,Female,17500.0,Hazelnut,1,3.74,4.49,16.22,0.73,6,1.2,0.3
2025-05-08,Australia,30,Female,35000.0,Salted Caramel,6,3.6,23.76,14.11,3.35,5,1.1,0.25
2025-11-14,Italy,18,Male,42600.0,Hazelnut,4,3.49,12.56,16.32,2.05,11,0.9,0.05
2025-11-06,Australia,38,Female,70700.0,Mint,4,4.06,14.62,14.21,2.08,11,0.9,0.25
2025-04-14,Netherlands,23,Female,24900.0,Pistachio,4,3.98,15.92,12.89,2.05,4,1.0,0.1
2025-03-23,UK,44,Male,113400.0,Vanilla,4,4.09,16.36,14.2,2.32,3,1.0,0.2
2025-04-24,Italy,25,Male,48000.0,Cookies & Cream,1,3.13,3.13,12.99,0.41,4,1.0,0.05
2025-05-16,UK,59,Male,17000.0,Chocolate,1,3.82,4.2,13.32,0.56,5,1.1,0.2
2026-01-14,USA,27,Male,23800.0,Vanilla,1,4.19,3.77,14.29,0.54,1,0.9,0.3
2025-05-19,USA,33,Male,73900.0,Coffee,4,3.95,17.38,12.27,2.13,5,1.1,0.3
2026-02-10,Germany,49,Male,67600.0,Chocolate,3,3.72,10.04,13.31,1.34,2,0.9,0.1
2025-10-01,France,20,Female,36600.0,Pistachio,1,4.03,3.63,12.89,0.47,10,0.9,0.15
2025-12-29,Australia,41,Female,39100.0,Berry,5,4.03,18.14,14.05,2.55,12,0.9,0.25
2025-03-31,Spain,56,Male,20300.0,Cookies & Cream,1,3.13,3.13,12.99,0.41,3,1.0,0.05
2025-09-12,France,18,Female,70300.0,Vanilla,2,4.04,8.08,14.27,1.15,9,1.0,0.15
2025-09-10,Spain,40,Female,22200.0,Stracciatella,2,3.67,7.34,15.33,1.13,9,1.0,0.05
2025-12-29,France,41,Female,55400.0,Mint,1,3.96,3.56,14.29,0.51,12,0.9,0.15
2025-10-24,UK,48,Female,71400.0,Stracciatella,2,3.82,6.88,15.34,1.06,10,0.9,0.2
2025-11-24,UK,20,Female,37200.0,Pistachio,2,4.08,7.34,12.89,0.95,11,0.9,0.2
2025-07-05,UK,19,Male,58900.0,Cookies & Cream,2,3.28,7.87,12.99,1.02,7,1.2,0.2
2025-12-07,USA,45,Female,91500.0,Cookies & Cream,1,3.38,3.04,13.0,0.4,12,0.9,0.3
2025-03-04,Brazil,42,Female,41500.0,Chocolate,4,3.52,14.08,13.33,1.88,3,1.0,-0.1
2026-02-10,Australia,41,Male,33300.0,Mint,2,4.06,7.31,14.29,1.04,2,0.9,0.25
2025-04-26,Netherlands,42,Male,35100.0,Chocolate,1,3.72,3.72,13.26,0.49,4,1.0,0.1
2026-02-11,UK,28,Female,25000.0,Stracciatella,3,3.82,10.31,15.25,1.57,2,0.9,0.2
2025-11-28,Netherlands,41,Male,24800.0,Cookies & Cream,2,3.18,5.72,13.0,0.74,11,0.9,0.1
2025-07-13,UK,42,Male,45300.0,Pistachio,1,4.08,4.9,12.88,0.63,7,1.2,0.2
2026-01-21,Spain,27,Male,33500.0,Pistachio,1,3.93,3.54,12.89,0.46,1,0.9,0.05
2025-08-20,Brazil,64,Female,42800.0,Chocolate,1,3.52,4.22,13.36,0.56,8,1.2,-0.1
2025-04-25,Germany,44,Male,17200.0,Berry,4,3.88,15.52,14.09,2.19,4,1.0,0.1
2025-07-27,USA,21,Male,34700.0,Stracciatella,1,3.92,4.7,15.21,0.71,7,1.2,0.3
2025-10-07,UK,47,Male,60800.0,Chocolate,1,3.82,3.44,13.19,0.45,10,0.9,0.2
2025-05-18,France,24,Female,20800.0,Cookies & Cream,1,3.23,3.55,12.98,0.46,5,1.1,0.15
2025-10-17,UK,49,Male,36600.0,Berry,4,3.98,14.33,14.11,2.02,10,0.9,0.2
2025-02-28,France,54,Male,14400.0,Stracciatella,1,3.77,3.39,15.34,0.52,2,0.9,0.15
2025-07-11,Germany,26,Female,18900.0,Berry,4,3.88,18.62,14.11,2.63,7,1.2,0.1
2025-11-10,France,51,Female,54400.0,Mint,2,3.96,7.13,14.29,1.02,11,0.9,0.15
2025-05-29,Australia,43,Male,31100.0,Vanilla,1,4.14,4.55,14.25,0.65,5,1.1,0.25
2025-11-13,France,49,Female,90300.0,Chocolate,3,3.77,10.18,13.31,1.35,11,0.9,0.15
2025-04-22,Spain,64,Male,45100.0,Chocolate,1,3.67,3.67,13.26,0.49,4,1.0,0.05
2026-01-13,Canada,34,Female,47300.0,Coffee,1,3.9,3.51,12.2,0.43,1,0.9,0.25
2025-07-29,Australia,27,Female,21200.0,Mint,2,4.06,9.74,14.33,1.4,7,1.2,0.25
2026-01-20,Germany,25,Male,30000.0,Chocolate,3,3.72,10.04,13.31,1.34,1,0.9,0.1
2025-11-13,France,26,Female,25200.0,Vanilla,2,4.04,7.27,14.29,1.04,11,0.9,0.15
2026-01-04,Canada,36,Non-binary,21300.0,Salted Caramel,1,3.6,3.24,13.91,0.45,1,0.9,0.25
2025-06-08,Netherlands,42,Male,50600.0,Chocolate,1,3.72,4.46,13.36,0.6,6,1.2,0.1
2025-05-16,Australia,41,Male,56000.0,Cookies & Cream,4,3.33,14.65,13.06,1.91,5,1.1,0.25
2025-09-06,UK,49,Male,44300.0,Cookies & Cream,1,3.28,3.28,12.99,0.43,9,1.0,0.2
2025-05-20,Australia,38,Male,24000.0,Mint,2,4.06,8.93,14.32,1.28,5,1.1,0.25
2025-11-30,France,58,Female,42800.0,Chocolate,1,3.77,3.39,13.19,0.45,11,0.9,0.15
2025-11-25,Brazil,34,Male,14000.0,Pistachio,3,3.78,10.21,12.88,1.32,11,0.9,-0.1
2025-02-27,Canada,76,Female,70400.0,Salted Caramel,6,3.6,19.44,14.15,2.75,2,0.9,0.25
2025-12-30,UK,46,Female,19000.0,Coffee,1,3.85,3.47,12.2,0.42,12,0.9,0.2
2025-08-11,Netherlands,25,Male,20700.0,Hazelnut,2,3.54,8.5,16.22,1.38,8,1.2,0.1
2025-11-04,Germany,23,Male,38500.0,Chocolate,4,3.72,13.39,13.35,1.79,11,0.9,0.1
2025-03-08,Australia,44,Female,40200.0,Stracciatella,3,3.87,11.61,15.29,1.78,3,1.0,0.25
2025-04-25,Canada,34,Female,35000.0,Salted Caramel,6,3.6,21.6,14.13,3.05,4,1.0,0.25
2025-08-31,Netherlands,47,Male,20800.0,Vanilla,1,3.99,4.79,14.13,0.68,8,1.2,0.1
2025-08-03,France,44,Female,64000.0,Hazelnut,1,3.59,4.31,16.22,0.7,8,1.2,0.15
2025-06-29,Germany,36,Male,15600.0,Hazelnut,1,3.54,4.25,16.22,0.69,6,1.2,0.1
2025-03-28,USA,26,Male,17300.0,Chocolate,1,3.92,3.92,13.26,0.52,3,1.0,0.3
2025-06-30,Spain,18,Female,34400.0,Pistachio,5,3.93,23.58,12.89,3.04,6,1.2,0.05
2025-12-14,Australia,31,Female,19300.0,Mint,1,4.06,3.65,14.29,0.52,12,0.9,0.25
2025-04-08,Germany,49,Male,66900.0,Pistachio,4,3.98,15.92,12.89,2.05,4,1.0,0.1
2025-04-11,France,40,Female,20100.0,Mint,2,3.96,7.92,14.3,1.13,4,1.0,0.15
2025-11-02,Brazil,20,Female,79100.0,Chocolate,2,3.52,6.34,13.34,0.85,11,0.9,-0.1
2025-04-03,Netherlands,40,Female,60900.0,Vanilla,1,3.99,3.99,14.14,0.56,4,1.0,0.1
2025-11-26,Australia,43,Female,67300.0,Hazelnut,2,3.69,6.64,16.32,1.08,11,0.9,0.25
2025-05-02,Netherlands,25,Female,93300.0,Vanilla,4,3.99,17.56,14.19,2.49,5,1.1,0.1
2025-05-03,USA,40,Male,37800.0,Berry,1,4.08,4.49,13.94,0.63,5,1.1,0.3
2026-01-30,France,38,Male,21900.0,Vanilla,3,4.04,10.91,14.19,1.55,1,0.9,0.15
2025-10-28,Germany,21,Male,34500.0,Salted Caramel,1,3.45,3.11,13.91,0.43,10,0.9,0.1
2025-12-05,Netherlands,43,Male,27400.0,Pistachio,1,3.98,3.58,12.89,0.46,12,0.9,0.1
2025-05-22,Spain,45,Female,25500.0,Vanilla,1,3.94,4.33,14.25,0.62,5,1.1,0.05
2025-07-12,Italy,53,Female,39200.0,Hazelnut,3,3.49,12.56,16.32,2.05,7,1.2,0.05
2025-11-24,Canada,52,Male,31100.0,Berry,4,4.03,14.51,14.11,2.05,11,0.9,0.25
2026-01-03,France,18,Male,24900.0,Berry,3,3.93,10.61,14.1,1.5,1,0.9,0.15
2025-10-01,UK,24,Male,32100.0,Vanilla,1,4.09,3.68,14.29,0.53,10,0.9,0.2
2025-06-15,Brazil,45,Male,47800.0,Berry,2,3.68,8.83,14.0,1.24,6,1.2,-0.1
2025-11-30,Australia,45,Male,58600.0,Stracciatella,1,3.87,3.48,15.34,0.53,11,0.9,0.25
2026-02-15,Spain,45,Female,16300.0,Coffee,3,3.7,9.99,12.27,1.23,2,0.9,0.05
2025-06-09,Spain,80,Male,31200.0,Cookies & Cream,1,3.13,3.76,12.97,0.49,6,1.2,0.05
2026-02-27,Netherlands,45,Male,33800.0,Vanilla,3,3.99,10.77,14.19,1.53,2,0.9,0.1
2025-08-05,Germany,53,Prefer not to say,20100.0,Salted Caramel,1,3.45,4.14,13.93,0.58,8,1.2,0.1
2025-09-19,USA,51,Male,34200.0,Hazelnut,1,3.74,3.74,16.28,0.61,9,1.0,0.3
2026-02-05,USA,47,Male,39100.0,Hazelnut,4,3.74,13.46,16.32,2.2,2,0.9,0.3
2026-01-25,Netherlands,33,Male,47100.0,Salted Caramel,1,3.45,3.11,13.91,0.43,1,0.9,0.1
2025-09-06,Australia,48,Male,37700.0,Stracciatella,1,3.87,3.87,15.19,0.59,9,1.0,0.25
2025-10-09,UK,27,Prefer not to say,23400.0,Coffee,3,3.85,10.4,12.27,1.28,10,0.9,0.2
2025-11-18,UK,34,Male,99300.0,Chocolate,1,3.82,3.44,13.19,0.45,11,0.9,0.2
2025-10-16,France,31,Male,55000.0,Vanilla,1,4.04,3.64,14.29,0.52,10,0.9,0.15
2025-04-29,France,39,Female,47900.0,Mint,3,3.96,11.88,14.26,1.69,4,1.0,0.15
2025-07-03,Brazil,70,Male,60000.0,Vanilla,6,3.79,27.29,14.21,3.88,7,1.2,-0.1
2025-06-22,USA,18,Male,41000.0,Coffee,3,3.95,14.22,12.25,1.74,6,1.2,0.3
2025-03-31,Spain,47,Male,69100.0,Berry,1,3.83,3.83,14.02,0.54,3,1.0,0.05
2025-08-19,Netherlands,18,Female,37400.0,Chocolate,4,3.72,17.86,13.35,2.38,8,1.2,0.1
2025-03-09,Germany,31,Male,36300.0,Hazelnut,1,3.54,3.54,16.28,0.58,3,1.0,0.1
2025-12-25,Brazil,53,Female,49900.0,Coffee,3,3.55,9.58,12.27,1.18,12,0.9,-0.1
2025-12-07,France,38,Male,79900.0,Mint,1,3.96,3.56,14.29,0.51,12,0.9,0.15
2025-06-24,UK,22,Female,77300.0,Chocolate,1,3.82,4.58,13.36,0.61,6,1.2,0.2
2025-12-25,Netherlands,27,Male,48800.0,Hazelnut,5,3.54,15.93,16.28,2.59,12,0.9,0.1
2025-06-19,Canada,47,Female,47000.0,Stracciatella,5,3.87,23.22,15.29,3.55,6,1.2,0.25
2025-03-02,Canada,27,Female,51400.0,Pistachio,1,4.13,4.13,12.89,0.53,3,1.0,0.25
2025-04-04,UK,41,Male,59400.0,Mint,1,4.01,4.01,14.17,0.57,4,1.0,0.2
2026-02-24,Canada,38,Female,69500.0,Chocolate,5,3.87,17.42,13.32,2.32,2,0.9,0.25
2026-01-16,France,28,Male,32300.0,Chocolate,1,3.77,3.39,13.19,0.45,1,0.9,0.15
2025-03-29,UK,68,Male,70200.0,Stracciatella,1,3.82,3.82,15.19,0.58,3,1.0,0.2
2025-06-24,USA,46,Non-binary,43100.0,Salted Caramel,1,3.65,4.38,13.93,0.61,6,1.2,0.3
2025-04-02,Canada,18,Female,50300.0,Mint,1,4.06,4.06,14.17,0.58,4,1.0,0.25
2025-03-15,Spain,40,Male,72500.0,Salted Caramel,1,3.4,3.4,14.03,0.48,3,1.0,0.05
2025-08-15,Netherlands,28,Female,52800.0,Vanilla,6,3.99,28.73,14.21,4.08,8,1.2,0.1
2025-04-04,USA,49,Male,57400.0,Vanilla,1,4.19,4.19,14.14,0.59,4,1.0,0.3
2025-11-17,USA,26,Male,29900.0,Coffee,1,3.95,3.56,12.2,0.43,11,0.9,0.3
2025-06-28,Canada,36,Female,76800.0,Cookies & Cream,1,3.33,4.0,12.97,0.52,6,1.2,0.25
2025-07-19,Netherlands,45,Female,51400.0,Coffee,1,3.75,4.5,12.33,0.55,7,1.2,0.1
2026-02-04,Brazil,50,Female,38700.0,Cookies & Cream,1,2.98,2.68,13.0,0.35,2,0.9,-0.1
2025-11-02,Brazil,21,Male,63000.0,Mint,5,3.71,16.7,14.24,2.38,11,0.9,-0.1
2025-06-16,UK,33,Female,132400.0,Pistachio,1,4.08,4.9,12.88,0.63,6,1.2,0.2
2025-11-30,USA,31,Male,20200.0,Chocolate,5,3.92,17.64,13.32,2.35,11,0.9,0.3
2025-05-05,Netherlands,28,Male,24300.0,Vanilla,2,3.99,8.78,14.25,1.25,5,1.1,0.1
2025-12-16,France,62,Non-binary,139100.0,Mint,2,3.96,7.13,14.29,1.02,12,0.9,0.15
2025-12-19,Spain,43,Male,45000.0,Mint,1,3.86,3.47,14.29,0.5,12,0.9,0.05
2025-10-27,UK,20,Female,40000.0,Pistachio,1,4.08,3.67,12.89,0.47,10,0.9,0.2
