date,product,region,units_sold,price_per_unit,revenue,cost,profit,profit_margin,age_group,gender
2025-01-31,Good Humor Strawberry Shortcake Bar,Northeast,139,2.83,393.37,295.34,98.03,0.2492,35-54,Male
2025-01-31,Good Humor Strawberry Shortcake Bar,Northeast,27,2.83,76.41,57.37,19.04,0.2492,35-54,Female
2025-01-31,Good Humor Strawberry Shortcake Bar,Northeast,357,2.83,1010.31,758.53,251.78,0.2492,35-54,Prefer not to say
2025-01-31,Good Humor Strawberry Shortcake Bar,Northeast,7,2.83,19.81,14.87,4.94,0.2492,55+,Male
2025-01-31,Good Humor Strawberry Shortcake Bar,Northeast,1,2.83,2.83,2.12,0.71,0.2492,55+,Female
2025-01-31,Good Humor Strawberry Shortcake Bar,Northeast,19,2.83,53.77,40.37,13.4,0.2492,55+,Prefer not to say
2025-01-31,Good Humor Strawberry Shortcake Bar,Midwest,2,2.18,4.36,2.97,1.39,0.3182,<18,Female
2025-01-31,Good Humor Strawberry Shortcake Bar,Midwest,1,2.18,2.18,1.49,0.69,0.3182,<18,Prefer not to say
2025-01-31,Good Humor Strawberry Shortcake Bar,Midwest,12,2.18,26.16,17.84,8.32,0.3182,18-34,Male
2025-01-31,Good Humor Strawberry Shortcake Bar,Midwest,203,2.18,442.54,301.71,140.83,0.3182,18-34,Female
2025-01-31,Good Humor Strawberry Shortcake Bar,Midwest,45,2.18,98.1,66.88,31.22,0.3182,18-34,Non-binary
2025-01-31,Good Humor Strawberry Shortcake Bar,Midwest,70,2.18,152.6,104.04,48.56,0.3182,18-34,Prefer not to say
2025-01-31,Good Humor Strawberry Shortcake Bar,Midwest,5,2.18,10.9,7.43,3.47,0.3182,35-54,Male
2025-01-31,Good Humor Strawberry Shortcake Bar,Midwest,79,2.18,172.22,117.42,54.8,0.3182,35-54,Female
2025-01-31,Good Humor Strawberry Shortcake Bar,Midwest,18,2.18,39.24,26.75,12.49,0.3182,35-54,Non-binary
2025-01-31,Good Humor Strawberry Shortcake Bar,Midwest,27,2.18,58.86,40.13,18.73,0.3182,35-54,Prefer not to say
2025-01-31,Good Humor Strawberry Shortcake Bar,Midwest,22,2.18,47.96,32.7,15.26,0.3182,55+,Male
2025-01-31,Good Humor Strawberry Shortcake Bar,Midwest,375,2.18,817.5,557.35,260.15,0.3182,55+,Female
2025-01-31,Good Humor Strawberry Shortcake Bar,Midwest,83,2.18,180.94,123.36,57.58,0.3182,55+,Non-binary
2025-01-31,Good Humor Strawberry Shortcake Bar,Midwest,128,2.18,279.04,190.24,88.8,0.3182,55+,Prefer not to say
2025-01-31,Good Humor Strawberry Shortcake Bar,South,12,2.56,30.72,20.23,10.49,0.3416,<18,Male
2025-01-31,Good Humor Strawberry Shortcake Bar,South,68,2.56,174.08,114.62,59.46,0.3416,<18,Female
2025-01-31,Good Humor Strawberry Shortcake Bar,South,19,2.56,48.64,32.03,16.61,0.3416,<18,Non-binary
2025-01-31,Good Humor Strawberry Shortcake Bar,South,128,2.56,327.68,215.76,111.92,0.3416,<18,Prefer not to say
2025-01-31,Good Humor Strawberry Shortcake Bar,South,6,2.56,15.36,10.11,5.25,0.3416,18-34,Male
2025-01-31,Good Humor Strawberry Shortcake Bar,South,34,2.56,87.04,57.31,29.73,0.3416,18-34,Female
2025-01-31,Good Humor Strawberry Shortcake Bar,South,10,2.56,25.6,16.86,8.74,0.3416,18-34,Non-binary
2025-01-31,Good Humor Strawberry Shortcake Bar,South,63,2.56,161.28,106.19,55.09,0.3416,18-34,Prefer not to say
2025-01-31,Good Humor Strawberry Shortcake Bar,South,32,2.56,81.92,53.94,27.98,0.3416,35-54,Male
2025-01-31,Good Humor Strawberry Shortcake Bar,South,179,2.56,458.24,301.72,156.52,0.3416,35-54,Female
2025-01-31,Good Humor Strawberry Shortcake Bar,South,51,2.56,130.56,85.97,44.59,0.3416,35-54,Non-binary
2025-01-31,Good Humor Strawberry Shortcake Bar,South,335,2.56,857.6,564.67,292.93,0.3416,35-54,Prefer not to say
2025-01-31,Good Humor Strawberry Shortcake Bar,South,42,2.56,107.52,70.79,36.73,0.3416,55+,Male
2025-01-31,Good Humor Strawberry Shortcake Bar,South,234,2.56,599.04,394.43,204.61,0.3416,55+,Female
2025-01-31,Good Humor Strawberry Shortcake Bar,South,66,2.56,168.96,111.25,57.71,0.3416,55+,Non-binary
2025-01-31,Good Humor Strawberry Shortcake Bar,South,438,2.56,1121.28,738.29,382.99,0.3416,55+,Prefer not to say
2025-01-31,Good Humor Strawberry Shortcake Bar,West,6,2.23,13.38,8.71,4.67,0.349,<18,Male
2025-01-31,Good Humor Strawberry Shortcake Bar,West,42,2.23,93.66,60.98,32.68,0.349,<18,Female
2025-01-31,Good Humor Strawberry Shortcake Bar,West,42,2.23,93.66,60.98,32.68,0.349,<18,Non-binary
2025-01-31,Good Humor Strawberry Shortcake Bar,West,9,2.23,20.07,13.07,7.0,0.349,<18,Prefer not to say
2025-01-31,Good Humor Strawberry Shortcake Bar,West,29,2.23,64.67,42.1,22.57,0.349,18-34,Male
2025-01-31,Good Humor Strawberry Shortcake Bar,West,217,2.23,483.91,315.04,168.87,0.349,18-34,Female
2025-01-31,Good Humor Strawberry Shortcake Bar,West,216,2.23,481.68,313.59,168.09,0.349,18-34,Non-binary
2025-01-31,Good Humor Strawberry Shortcake Bar,West,49,2.23,109.27,71.14,38.13,0.349,18-34,Prefer not to say
2025-01-31,Good Humor Strawberry Shortcake Bar,West,3,2.23,6.69,4.36,2.33,0.349,35-54,Male
2025-01-31,Good Humor Strawberry Shortcake Bar,West,22,2.23,49.06,31.94,17.12,0.349,35-54,Female
2025-01-31,Good Humor Strawberry Shortcake Bar,West,22,2.23,49.06,31.94,17.12,0.349,35-54,Non-binary
2025-01-31,Good Humor Strawberry Shortcake Bar,West,5,2.23,11.15,7.26,3.89,0.349,35-54,Prefer not to say
2025-01-31,Good Humor Strawberry Shortcake Bar,West,65,2.23,144.95,94.37,50.58,0.349,55+,Male
2025-01-31,Good Humor Strawberry Shortcake Bar,West,482,2.23,1074.86,699.78,375.08,0.349,55+,Female
2025-01-31,Good Humor Strawberry Shortcake Bar,West,479,2.23,1068.17,695.42,372.75,0.349,55+,Non-binary
2025-01-31,Good Humor Strawberry Shortcake Bar,West,109,2.23,243.07,158.25,84.82,0.349,55+,Prefer not to say
2025-01-31,Good Humor Chocolate Eclair Bar,Northeast,29,1.89,54.81,36.44,18.37,0.3351,<18,Male
2025-01-31,Good Humor Chocolate Eclair Bar,Northeast,25,1.89,47.25,31.41,15.84,0.3351,<18,Female
2025-01-31,Good Humor Chocolate Eclair Bar,Northeast,108,1.89,204.12,135.71,68.41,0.3351,<18,Non-binary
2025-01-31,Good Humor Chocolate Eclair Bar,Northeast,169,1.89,319.41,212.36,107.05,0.3351,<18,Prefer not to say
2025-01-31,Good Humor Chocolate Eclair Bar,Northeast,2,1.89,3.78,2.51,1.27,0.3351,18-34,Male
2025-01-31,Good Humor Chocolate Eclair Bar,Northeast,2,1.89,3.78,2.51,1.27,0.3351,18-34,Female
2025-01-31,Good Humor Chocolate Eclair Bar,Northeast,7,1.89,13.23,8.8,4.43,0.3351,18-34,Non-binary
2025-01-31,Good Humor Chocolate Eclair Bar,Northeast,12,1.89,22.68,15.08,7.6,0.3351,18-34,Prefer not to say
2025-01-31,Good Humor Chocolate Eclair Bar,Northeast,60,1.89,113.4,75.4,38.0,0.3351,35-54,Male
2025-01-31,Good Humor Chocolate Eclair Bar,Northeast,51,1.89,96.39,64.09,32.3,0.3351,35-54,Female
2025-01-31,Good Humor Chocolate Eclair Bar,Northeast,220,1.89,415.8,276.45,139.35,0.3351,35-54,Non-binary
2025-01-31,Good Humor Chocolate Eclair Bar,Northeast,344,1.89,650.16,432.27,217.89,0.3351,35-54,Prefer not to say
2025-01-31,Good Humor Chocolate Eclair Bar,Northeast,3,1.89,5.67,3.77,1.9,0.3351,55+,Male
2025-01-31,Good Humor Chocolate Eclair Bar,Northeast,3,1.89,5.67,3.77,1.9,0.3351,55+,Female
2025-01-31,Good Humor Chocolate Eclair Bar,Northeast,12,1.89,22.68,15.08,7.6,0.3351,55+,Non-binary
2025-01-31,Good Humor Chocolate Eclair Bar,Northeast,19,1.89,35.91,23.88,12.03,0.3351,55+,Prefer not to say
2025-01-31,Good Humor Chocolate Eclair Bar,Midwest,170,2.42,411.4,278.71,132.69,0.3225,<18,Male
2025-01-31,Good Humor Chocolate Eclair Bar,Midwest,27,2.42,65.34,44.27,21.07,0.3225,<18,Female
2025-01-31,Good Humor Chocolate Eclair Bar,Midwest,16,2.42,38.72,26.23,12.49,0.3225,<18,Non-binary
2025-01-31,Good Humor Chocolate Eclair Bar,Midwest,1,2.42,2.42,1.64,0.78,0.3225,<18,Prefer not to say
2025-01-31,Good Humor Chocolate Eclair Bar,Midwest,664,2.42,1606.88,1088.61,518.27,0.3225,18-34,Male
2025-01-31,Good Humor Chocolate Eclair Bar,Midwest,105,2.42,254.1,172.15,81.95,0.3225,18-34,Female
2025-01-31,Good Humor Chocolate Eclair Bar,Midwest,64,2.42,154.88,104.93,49.95,0.3225,18-34,Non-binary
2025-01-31,Good Humor Chocolate Eclair Bar,Midwest,3,2.42,7.26,4.92,2.34,0.3225,18-34,Prefer not to say
2025-01-31,Good Humor Chocolate Eclair Bar,Midwest,176,2.42,425.92,288.55,137.37,0.3225,35-54,Male
2025-01-31,Good Humor Chocolate Eclair Bar,Midwest,28,2.42,67.76,45.91,21.85,0.3225,35-54,Female
2025-01-31,Good Humor Chocolate Eclair Bar,Midwest,17,2.42,41.14,27.87,13.27,0.3225,35-54,Non-binary
2025-01-31,Good Humor Chocolate Eclair Bar,Midwest,1,2.42,2.42,1.64,0.78,0.3225,35-54,Prefer not to say
2025-01-31,Good Humor Chocolate Eclair Bar,Midwest,515,2.42,1246.3,844.33,401.97,0.3225,55+,Male
2025-01-31,Good Humor Chocolate Eclair Bar,Midwest,82,2.42,198.44,134.44,64.0,0.3225,55+,Female
2025-01-31,Good Humor Chocolate Eclair Bar,Midwest,49,2.42,118.58,80.33,38.25,0.3225,55+,Non-binary
2025-01-31,Good Humor Chocolate Eclair Bar,Midwest,2,2.42,4.84,3.28,1.56,0.3225,55+,Prefer not to say
2025-01-31,Good Humor Chocolate Eclair Bar,South,50,2.44,122.0,79.95,42.05,0.3446,<18,Male
2025-01-31,Good Humor Chocolate Eclair Bar,South,120,2.44,292.8,191.89,100.91,0.3446,<18,Female
2025-01-31,Good Humor Chocolate Eclair Bar,South,65,2.44,158.6,103.94,54.66,0.3446,<18,Non-binary
2025-01-31,Good Humor Chocolate Eclair Bar,South,94,2.44,229.36,150.31,79.05,0.3446,<18,Prefer not to say
2025-01-31,Good Humor Chocolate Eclair Bar,South,3,2.44,7.32,4.8,2.52,0.3446,18-34,Male
2025-01-31,Good Humor Chocolate Eclair Bar,South,7,2.44,17.08,11.19,5.89,0.3446,18-34,Female
2025-01-31,Good Humor Chocolate Eclair Bar,South,4,2.44,9.76,6.4,3.36,0.3446,18-34,Non-binary
2025-01-31,Good Humor Chocolate Eclair Bar,South,5,2.44,12.2,8.0,4.2,0.3446,18-34,Prefer not to say
2025-01-31,Good Humor Chocolate Eclair Bar,South,18,2.44,43.92,28.78,15.14,0.3446,35-54,Male
2025-01-31,Good Humor Chocolate Eclair Bar,South,43,2.44,104.92,68.76,36.16,0.3446,35-54,Female
2025-01-31,Good Humor Chocolate Eclair Bar,South,23,2.44,56.12,36.78,19.34,0.3446,35-54,Non-binary
2025-01-31,Good Humor Chocolate Eclair Bar,South,34,2.44,82.96,54.37,28.59,0.3446,35-54,Prefer not to say
2025-01-31,Good Humor Chocolate Eclair Bar,South,55,2.44,134.2,87.95,46.25,0.3446,55+,Male
2025-01-31,Good Humor Chocolate Eclair Bar,South,133,2.44,324.52,212.67,111.85,0.3446,55+,Female
2025-01-31,Good Humor Chocolate Eclair Bar,South,72,2.44,175.68,115.13,60.55,0.3446,55+,Non-binary
2025-01-31,Good Humor Chocolate Eclair Bar,South,104,2.44,253.76,166.3,87.46,0.3446,55+,Prefer not to say
2025-01-31,Good Humor Chocolate Eclair Bar,West,94,2.32,218.08,168.76,49.32,0.2262,<18,Male
2025-01-31,Good Humor Chocolate Eclair Bar,West,5,2.32,11.6,8.98,2.62,0.2262,<18,Female
2025-01-31,Good Humor Chocolate Eclair Bar,West,23,2.32,53.36,41.29,12.07,0.2262,<18,Non-binary
2025-01-31,Good Humor Chocolate Eclair Bar,West,34,2.32,78.88,61.04,17.84,0.2262,<18,Prefer not to say
2025-01-31,Good Humor Chocolate Eclair Bar,West,62,2.32,143.84,111.31,32.53,0.2262,18-34,Male
2025-01-31,Good Humor Chocolate Eclair Bar,West,3,2.32,6.96,5.39,1.57,0.2262,18-34,Female
2025-01-31,Good Humor Chocolate Eclair Bar,West,15,2.32,34.8,26.93,7.87,0.2262,18-34,Non-binary
2025-01-31,Good Humor Chocolate Eclair Bar,West,22,2.32,51.04,39.5,11.54,0.2262,18-34,Prefer not to say
2025-01-31,Good Humor Chocolate Eclair Bar,West,41,2.32,95.12,73.61,21.51,0.2262,35-54,Male
2025-01-31,Good Humor Chocolate Eclair Bar,West,2,2.32,4.64,3.59,1.05,0.2262,35-54,Female
2025-01-31,Good Humor Chocolate Eclair Bar,West,10,2.32,23.2,17.95,5.25,0.2262,35-54,Non-binary
2025-01-31,Good Humor Chocolate Eclair Bar,West,15,2.32,34.8,26.93,7.87,0.2262,35-54,Prefer not to say
2025-01-31,Good Humor Chocolate Eclair Bar,West,190,2.32,440.8,341.11,99.69,0.2262,55+,Male
2025-01-31,Good Humor Chocolate Eclair Bar,West,10,2.32,23.2,17.95,5.25,0.2262,55+,Female
2025-01-31,Good Humor Chocolate Eclair Bar,West,47,2.32,109.04,84.38,24.66,0.2262,55+,Non-binary
2025-01-31,Good Humor Chocolate Eclair Bar,West,68,2.32,157.76,122.08,35.68,0.2262,55+,Prefer not to say
2025-02-28,Good Humor Classic Bar,Northeast,67,2.31,154.77,119.08,35.69,0.2306,<18,Male
2025-02-28,Good Humor Classic Bar,Northeast,1,2.31,2.31,1.78,0.53,0.2306,<18,Female
2025-02-28,Good Humor Classic Bar,Northeast,9,2.31,20.79,16.0,4.79,0.2306,<18,Non-binary
2025-02-28,Good Humor Classic Bar,Northeast,24,2.31,55.44,42.66,12.78,0.2306,<18,Prefer not to say
2025-02-28,Good Humor Classic Bar,Northeast,360,2.31,831.6,639.84,191.76,0.2306,18-34,Male
2025-02-28,Good Humor Classic Bar,Northeast,4,2.31,9.24,7.11,2.13,0.2306,18-34,Female
2025-02-28,Good Humor Classic Bar,Northeast,47,2.31,108.57,83.54,25.03,0.2306,18-34,Non-binary
2025-02-28,Good Humor Classic Bar,Northeast,129,2.31,297.99,229.28,68.71,0.2306,18-34,Prefer not to say
2025-02-28,Good Humor Classic Bar,Northeast,202,2.31,466.62,359.02,107.6,0.2306,35-54,Male
2025-02-28,Good Humor Classic Bar,Northeast,3,2.31,6.93,5.33,1.6,0.2306,35-54,Female
2025-02-28,Good Humor Classic Bar,Northeast,26,2.31,60.06,46.21,13.85,0.2306,35-54,Non-binary
2025-02-28,Good Humor Classic Bar,Northeast,73,2.31,168.63,129.75,38.88,0.2306,35-54,Prefer not to say
2025-02-28,Good Humor Classic Bar,Northeast,212,2.31,489.72,376.8,112.92,0.2306,55+,Male
2025-02-28,Good Humor Classic Bar,Northeast,3,2.31,6.93,5.33,1.6,0.2306,55+,Female
2025-02-28,Good Humor Classic Bar,Northeast,28,2.31,64.68,49.77,14.91,0.2306,55+,Non-binary
2025-02-28,Good Humor Classic Bar,Northeast,76,2.31,175.56,135.08,40.48,0.2306,55+,Prefer not to say
2025-02-28,Good Humor Classic Bar,Midwest,23,2.92,67.16,48.82,18.34,0.2731,<18,Male
2025-02-28,Good Humor Classic Bar,Midwest,164,2.92,478.88,348.12,130.76,0.2731,<18,Female
2025-02-28,Good Humor Classic Bar,Midwest,185,2.92,540.2,392.7,147.5,0.2731,<18,Non-binary
2025-02-28,Good Humor Classic Bar,Midwest,168,2.92,490.56,356.61,133.95,0.2731,<18,Prefer not to say
2025-02-28,Good Humor Classic Bar,Midwest,7,2.92,20.44,14.86,5.58,0.2731,18-34,Male
2025-02-28,Good Humor Classic Bar,Midwest,52,2.92,151.84,110.38,41.46,0.2731,18-34,Female
2025-02-28,Good Humor Classic Bar,Midwest,59,2.92,172.28,125.24,47.04,0.2731,18-34,Non-binary
2025-02-28,Good Humor Classic Bar,Midwest,54,2.92,157.68,114.62,43.06,0.2731,18-34,Prefer not to say
2025-02-28,Good Humor Classic Bar,Midwest,22,2.92,64.24,46.7,17.54,0.2731,35-54,Male
2025-02-28,Good Humor Classic Bar,Midwest,160,2.92,467.2,339.63,127.57,0.2731,35-54,Female
2025-02-28,Good Humor Classic Bar,Midwest,181,2.92,528.52,384.2,144.32,0.2731,35-54,Non-binary
2025-02-28,Good Humor Classic Bar,Midwest,165,2.92,481.8,350.24,131.56,0.2731,35-54,Prefer not to say
2025-02-28,Good Humor Classic Bar,Midwest,3,2.92,8.76,6.37,2.39,0.2731,55+,Male
2025-02-28,Good Humor Classic Bar,Midwest,21,2.92,61.32,44.58,16.74,0.2731,55+,Female
2025-02-28,Good Humor Classic Bar,Midwest,24,2.92,70.08,50.94,19.14,0.2731,55+,Non-binary
2025-02-28,Good Humor Classic Bar,Midwest,22,2.92,64.24,46.7,17.54,0.2731,55+,Prefer not to say
2025-02-28,Good Humor Classic Bar,South,297,2.73,810.81,519.12,291.69,0.3597,<18,Male
2025-02-28,Good Humor Classic Bar,South,182,2.73,496.86,318.12,178.74,0.3597,<18,Female
2025-02-28,Good Humor Classic Bar,South,39,2.73,106.47,68.17,38.3,0.3597,<18,Non-binary
2025-02-28,Good Humor Classic Bar,South,78,2.73,212.94,136.34,76.6,0.3597,<18,Prefer not to say
2025-02-28,Good Humor Classic Bar,South,54,2.73,147.42,94.39,53.03,0.3597,18-34,Male
2025-02-28,Good Humor Classic Bar,South,33,2.73,90.09,57.68,32.41,0.3597,18-34,Female
2025-02-28,Good Humor Classic Bar,South,7,2.73,19.11,12.24,6.87,0.3597,18-34,Non-binary
2025-02-28,Good Humor Classic Bar,South,14,2.73,38.22,24.47,13.75,0.3597,18-34,Prefer not to say
2025-02-28,Good Humor Classic Bar,South,224,2.73,611.52,391.53,219.99,0.3597,35-54,Male
2025-02-28,Good Humor Classic Bar,South,137,2.73,374.01,239.46,134.55,0.3597,35-54,Female
2025-02-28,Good Humor Classic Bar,South,30,2.73,81.9,52.44,29.46,0.3597,35-54,Non-binary
2025-02-28,Good Humor Classic Bar,South,59,2.73,161.07,103.13,57.94,0.3597,35-54,Prefer not to say
2025-02-28,Good Humor Classic Bar,South,75,2.73,204.75,131.09,73.66,0.3597,55+,Male
2025-02-28,Good Humor Classic Bar,South,46,2.73,125.58,80.4,45.18,0.3597,55+,Female
2025-02-28,Good Humor Classic Bar,South,10,2.73,27.3,17.48,9.82,0.3597,55+,Non-binary
2025-02-28,Good Humor Classic Bar,South,20,2.73,54.6,34.96,19.64,0.3597,55+,Prefer not to say
2025-02-28,Good Humor Classic Bar,West,4,2.8,11.2,7.39,3.81,0.3398,<18,Male
2025-02-28,Good Humor Classic Bar,West,211,2.8,590.8,390.02,200.78,0.3398,<18,Female
2025-02-28,Good Humor Classic Bar,West,78,2.8,218.4,144.18,74.22,0.3398,<18,Non-binary
2025-02-28,Good Humor Classic Bar,West,75,2.8,210.0,138.63,71.37,0.3398,<18,Prefer not to say
2025-02-28,Good Humor Classic Bar,West,1,2.8,2.8,1.85,0.95,0.3398,18-34,Male
2025-02-28,Good Humor Classic Bar,West,66,2.8,184.8,122.0,62.8,0.3398,18-34,Female
2025-02-28,Good Humor Classic Bar,West,24,2.8,67.2,44.36,22.84,0.3398,18-34,Non-binary
2025-02-28,Good Humor Classic Bar,West,23,2.8,64.4,42.51,21.89,0.3398,18-34,Prefer not to say
2025-02-28,Good Humor Classic Bar,West,3,2.8,8.4,5.55,2.85,0.3398,35-54,Male
